# time(ps) Nwater Force (pN) Pressure Dif (atm) 
1 167 11605.330999999998 25006.488950320472
2 181 12578.232999999998 27102.841317413207
3 181 12578.232999999998 27102.841317413207
4 187 12995.190999999999 28001.278046167237
5 185 12856.205 27701.799136582562
6 184 12786.712 27552.059681790226
7 184 12786.712 27552.059681790226
8 179 12439.247 26803.362407828532
9 179 12439.247 26803.362407828532
10 183 12717.219 27402.320226997883
11 183 12717.219 27402.320226997883
12 184 12786.712 27552.059681790226
13 181 12578.232999999998 27102.841317413207
14 186 12925.697999999999 27851.538591374898
15 183 12717.219 27402.320226997883
16 182 12647.725999999999 27252.580772205547
17 186 12925.697999999999 27851.538591374898
18 180 12508.74 26953.10186262087
19 181 12578.232999999998 27102.841317413207
20 184 12786.712 27552.059681790226
21 180 12508.74 26953.10186262087
22 180 12508.74 26953.10186262087
23 180 12508.74 26953.10186262087
24 186 12925.697999999999 27851.538591374898
25 177 12300.260999999999 26503.883498243853
26 177 12300.260999999999 26503.883498243853
27 184 12786.712 27552.059681790226
28 180 12508.74 26953.10186262087
29 181 12578.232999999998 27102.841317413207
30 179 12439.247 26803.362407828532
31 181 12578.232999999998 27102.841317413207
32 177 12300.260999999999 26503.883498243853
33 173 12022.288999999999 25904.925679074502
34 181 12578.232999999998 27102.841317413207
35 177 12300.260999999999 26503.883498243853
36 180 12508.74 26953.10186262087
37 182 12647.725999999999 27252.580772205547
38 179 12439.247 26803.362407828532
39 182 12647.725999999999 27252.580772205547
40 179 12439.247 26803.362407828532
41 188 13064.684 28151.017500959577
42 181 12578.232999999998 27102.841317413207
43 186 12925.697999999999 27851.538591374898
44 185 12856.205 27701.799136582562
45 183 12717.219 27402.320226997883
46 178 12369.753999999999 26653.622953036196
47 177 12300.260999999999 26503.883498243853
48 179 12439.247 26803.362407828532
49 176 12230.768 26354.14404345152
50 178 12369.753999999999 26653.622953036196
51 183 12717.219 27402.320226997883
52 178 12369.753999999999 26653.622953036196
53 184 12786.712 27552.059681790226
54 187 12995.190999999999 28001.278046167237
55 184 12786.712 27552.059681790226
56 180 12508.74 26953.10186262087
57 187 12995.190999999999 28001.278046167237
58 178 12369.753999999999 26653.622953036196
59 184 12786.712 27552.059681790226
60 184 12786.712 27552.059681790226
61 180 12508.74 26953.10186262087
62 177 12300.260999999999 26503.883498243853
63 180 12508.74 26953.10186262087
64 181 12578.232999999998 27102.841317413207
65 181 12578.232999999998 27102.841317413207
66 181 12578.232999999998 27102.841317413207
67 184 12786.712 27552.059681790226
68 182 12647.725999999999 27252.580772205547
69 190 13203.669999999998 28450.496410544252
70 178 12369.753999999999 26653.622953036196
71 176 12230.768 26354.14404345152
72 178 12369.753999999999 26653.622953036196
73 175 12161.275 26204.40458865918
74 170 11813.81 25455.70731469749
75 177 12300.260999999999 26503.883498243853
76 178 12369.753999999999 26653.622953036196
77 177 12300.260999999999 26503.883498243853
78 182 12647.725999999999 27252.580772205547
79 183 12717.219 27402.320226997883
80 172 11952.795999999998 25755.186224282163
81 180 12508.74 26953.10186262087
82 177 12300.260999999999 26503.883498243853
83 185 12856.205 27701.799136582562
84 178 12369.753999999999 26653.622953036196
85 179 12439.247 26803.362407828532
86 175 12161.275 26204.40458865918
87 185 12856.205 27701.799136582562
88 180 12508.74 26953.10186262087
89 179 12439.247 26803.362407828532
90 180 12508.74 26953.10186262087
91 180 12508.74 26953.10186262087
92 180 12508.74 26953.10186262087
93 179 12439.247 26803.362407828532
94 180 12508.74 26953.10186262087
95 186 12925.697999999999 27851.538591374898
96 181 12578.232999999998 27102.841317413207
97 175 12161.275 26204.40458865918
98 176 12230.768 26354.14404345152
99 175 12161.275 26204.40458865918
100 172 11952.795999999998 25755.186224282163
101 179 12439.247 26803.362407828532
102 176 12230.768 26354.14404345152
103 176 12230.768 26354.14404345152
104 178 12369.753999999999 26653.622953036196
105 178 12369.753999999999 26653.622953036196
106 183 12717.219 27402.320226997883
107 176 12230.768 26354.14404345152
108 177 12300.260999999999 26503.883498243853
109 181 12578.232999999998 27102.841317413207
110 186 12925.697999999999 27851.538591374898
111 181 12578.232999999998 27102.841317413207
112 182 12647.725999999999 27252.580772205547
113 181 12578.232999999998 27102.841317413207
114 183 12717.219 27402.320226997883
115 181 12578.232999999998 27102.841317413207
116 173 12022.288999999999 25904.925679074502
117 178 12369.753999999999 26653.622953036196
118 178 12369.753999999999 26653.622953036196
119 182 12647.725999999999 27252.580772205547
120 182 12647.725999999999 27252.580772205547
121 177 12300.260999999999 26503.883498243853
122 176 12230.768 26354.14404345152
123 180 12508.74 26953.10186262087
124 178 12369.753999999999 26653.622953036196
125 180 12508.74 26953.10186262087
126 180 12508.74 26953.10186262087
127 185 12856.205 27701.799136582562
128 187 12995.190999999999 28001.278046167237
129 182 12647.725999999999 27252.580772205547
130 178 12369.753999999999 26653.622953036196
131 177 12300.260999999999 26503.883498243853
132 179 12439.247 26803.362407828532
133 176 12230.768 26354.14404345152
134 181 12578.232999999998 27102.841317413207
135 176 12230.768 26354.14404345152
136 185 12856.205 27701.799136582562
137 177 12300.260999999999 26503.883498243853
138 186 12925.697999999999 27851.538591374898
139 180 12508.74 26953.10186262087
140 187 12995.190999999999 28001.278046167237
141 181 12578.232999999998 27102.841317413207
142 179 12439.247 26803.362407828532
143 184 12786.712 27552.059681790226
144 184 12786.712 27552.059681790226
145 180 12508.74 26953.10186262087
146 181 12578.232999999998 27102.841317413207
147 177 12300.260999999999 26503.883498243853
148 179 12439.247 26803.362407828532
149 183 12717.219 27402.320226997883
